URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/840.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	Norbelladine STD 500uM
Number	10
Position	B:A9
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/9/2022 11:15:05 PM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	28.000033
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.548796
Signal Max.	60.285786
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.056700	0.2	4.381295
2.060033	0.2	4.362548
2.063367	0.2	4.343321
2.066700	0.2	4.323558
2.070033	0.2	4.303837
2.073367	0.2	4.284866
2.076700	0.2	4.266719
2.080033	0.2	4.249010
2.083367	0.2	4.231604
2.086700	0.2	4.214519
2.090033	0.2	4.197662
2.093367	0.2	4.181019
2.096700	0.2	4.164670
2.100033	0.2	4.148334
2.103367	0.2	4.131244
2.106700	0.2	4.112804
2.110033	0.2	4.092995
2.113367	0.2	4.072259
2.116700	0.2	4.051398
2.120033	0.2	4.031360
2.123367	0.2	4.013046
2.126700	0.2	3.996873
2.130033	0.2	3.982186
2.133367	0.2	3.967695
2.136700	0.2	3.952691
2.140033	0.2	3.937334
2.143367	0.2	3.922032
2.146700	0.2	3.907173
2.150033	0.2	3.893035
2.153367	0.2	3.879727
2.156700	0.2	3.867205
2.160033	0.2	3.855149
2.163367	0.2	3.842856
2.166700	0.2	3.829682
2.170033	0.2	3.815857
2.173367	0.2	3.802427
2.176700	0.2	3.790180
2.180033	0.2	3.779018
2.183367	0.2	3.768462
2.186700	0.2	3.758371
2.190033	0.2	3.748825
2.193367	0.2	3.739623
2.196700	0.2	3.730427
2.200033	0.2	3.721244
2.203367	0.2	3.712620
2.206700	0.2	3.705095
2.210033	0.2	3.698398
2.213367	0.2	3.691576
2.216700	0.2	3.683926
2.220033	0.2	3.675455
2.223367	0.2	3.666654
2.226700	0.2	3.658026
2.230033	0.2	3.649644
2.233367	0.2	3.641397
2.236700	0.2	3.633392
2.240033	0.2	3.625862
2.243367	0.2	3.618835
2.246700	0.2	3.611748
2.250033	0.2	3.603804
2.253367	0.2	3.595017
2.256700	0.2	3.586104
2.260033	0.2	3.577434
2.263367	0.2	3.568875
2.266700	0.2	3.560367
2.270033	0.2	3.552083
2.273367	0.2	3.544083
2.276700	0.2	3.535748
2.280033	0.2	3.525955
2.283367	0.2	3.514066
2.286700	0.2	3.500506
2.290033	0.2	3.486546
2.293367	0.2	3.473675
2.296700	0.2	3.462629
2.300033	0.2	3.452683
2.303367	0.2	3.442313
2.306700	0.2	3.430587
2.310033	0.2	3.417516
2.313367	0.2	3.403570
2.316700	0.2	3.389292
2.320033	0.2	3.375015
2.323367	0.2	3.360873
2.326700	0.2	3.347127
2.330033	0.2	3.334149
2.333367	0.2	3.322186
2.336700	0.2	3.311159
2.340033	0.2	3.300393
2.343367	0.2	3.288798
2.346700	0.2	3.275680
2.350033	0.2	3.261175
2.353367	0.2	3.245869
2.356700	0.2	3.230250
2.360033	0.2	3.214772
2.363367	0.2	3.199833
2.366700	0.2	3.185375
2.370033	0.2	3.171093
2.373367	0.2	3.156951
2.376700	0.2	3.142883
2.380033	0.2	3.128485
2.383367	0.2	3.113220
2.386700	0.2	3.096908
2.390033	0.2	3.080331
2.393367	0.2	3.064564
2.396700	0.2	3.049667
2.400033	0.2	3.034952
2.403367	0.2	3.020158
2.406700	0.2	3.005499
2.410033	0.2	2.990863
2.413367	0.2	2.975790
2.416700	0.2	2.960064
2.420033	0.2	2.943715
2.423367	0.2	2.926844
2.426700	0.2	2.909712
2.430033	0.2	2.892790
2.433367	0.2	2.876562
2.436700	0.2	2.861209
2.440033	0.2	2.846560
2.443367	0.2	2.832375
2.446700	0.2	2.818396
2.450033	0.2	2.804101
2.453367	0.2	2.788943
2.456700	0.2	2.772957
2.460033	0.2	2.756761
2.463367	0.2	2.740719
2.466700	0.2	2.724668
2.470033	0.2	2.708486
2.473367	0.2	2.692551
2.476700	0.2	2.677618
2.480033	0.2	2.664342
2.483367	0.2	2.652840
2.486700	0.2	2.642563
2.490033	0.2	2.632891
2.493367	0.2	2.623647
2.496700	0.2	2.615065
2.500033	0.2	2.607359
2.503367	0.2	2.600485
2.506700	0.2	2.594185
2.510033	0.2	2.588294
2.513367	0.2	2.583126
2.516700	0.2	2.579424
2.520033	0.2	2.577910
2.523367	0.2	2.578502
2.526700	0.2	2.579922
2.530033	0.2	2.580667
2.533367	0.2	2.580457
2.536700	0.2	2.580178
2.540033	0.2	2.580914
2.543367	0.2	2.583438
2.546700	0.2	2.588034
2.550033	0.2	2.594730
2.553367	0.2	2.603340
2.556700	0.2	2.613170
2.560033	0.2	2.623177
2.563367	0.2	2.632854
2.566700	0.2	2.642637
