URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/535.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	TAA fed 500 -3
Number	49
Position	B:E8
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/10/2022 5:53:42 PM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	28.000033
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.578035
Signal Max.	76.911426
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.350033	0.2	3.850926
2.353367	0.2	3.839191
2.356700	0.2	3.826851
2.360033	0.2	3.814111
2.363367	0.2	3.801635
2.366700	0.2	3.790366
2.370033	0.2	3.780569
2.373367	0.2	3.771391
2.376700	0.2	3.761589
2.380033	0.2	3.750646
2.383367	0.2	3.738860
2.386700	0.2	3.726338
2.390033	0.2	3.712489
2.393367	0.2	3.696810
2.396700	0.2	3.679744
2.400033	0.2	3.662435
2.403367	0.2	3.646035
2.406700	0.2	3.631036
2.410033	0.2	3.616940
2.413367	0.2	3.602887
2.416700	0.2	3.588493
2.420033	0.2	3.573955
2.423367	0.2	3.559664
2.426700	0.2	3.545871
2.430033	0.2	3.532432
2.433367	0.2	3.518886
2.436700	0.2	3.504688
2.440033	0.2	3.489652
2.443367	0.2	3.474164
2.446700	0.2	3.458643
2.450033	0.2	3.443295
2.453367	0.2	3.428361
2.456700	0.2	3.414121
2.460033	0.2	3.400655
2.463367	0.2	3.388100
2.466700	0.2	3.376761
2.470033	0.2	3.366712
2.473367	0.2	3.357646
2.476700	0.2	3.349083
2.480033	0.2	3.340626
2.483367	0.2	3.332212
2.486700	0.2	3.324049
2.490033	0.2	3.316379
2.493367	0.2	3.309525
2.496700	0.2	3.303639
2.500033	0.2	3.298498
2.503367	0.2	3.293720
2.506700	0.2	3.288873
2.510033	0.2	3.283559
2.513367	0.2	3.278195
2.516700	0.2	3.274148
2.520033	0.2	3.272220
2.523367	0.2	3.271732
2.526700	0.2	3.271648
2.530033	0.2	3.271643
2.533367	0.2	3.271801
2.536700	0.2	3.272160
2.540033	0.2	3.272756
2.543367	0.2	3.273836
2.546700	0.2	3.275750
2.550033	0.2	3.278665
2.553367	0.2	3.282577
2.556700	0.2	3.287354
2.560033	0.2	3.292849
2.563367	0.2	3.299075
