URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/650.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	WT fed 500 -3
Number	75
Position	Y:B5
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/11/2022 6:19:31 AM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	28.000017
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.545266
Signal Max.	70.751691
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.153350	0.2	4.296000
2.156683	0.2	4.276070
2.160017	0.2	4.256708
2.163350	0.2	4.237737
2.166683	0.2	4.218849
2.170017	0.2	4.200274
2.173350	0.2	4.182667
2.176683	0.2	4.166528
2.180017	0.2	4.151836
2.183350	0.2	4.138062
2.186683	0.2	4.124641
2.190017	0.2	4.111407
2.193350	0.2	4.098234
2.196683	0.2	4.084753
2.200017	0.2	4.070932
2.203350	0.2	4.057307
2.206683	0.2	4.044352
2.210017	0.2	4.032170
2.213350	0.2	4.020478
2.216683	0.2	4.008757
2.220017	0.2	3.996682
2.223350	0.2	3.984477
2.226683	0.2	3.972589
2.230017	0.2	3.961199
2.233350	0.2	3.950149
2.236683	0.2	3.939234
2.240017	0.2	3.928524
2.243350	0.2	3.918493
2.246683	0.2	3.909701
2.250017	0.2	3.902060
2.253350	0.2	3.894698
2.256683	0.2	3.886730
2.260017	0.2	3.877981
2.263350	0.2	3.868672
2.266683	0.2	3.858963
2.270017	0.2	3.848993
2.273350	0.2	3.838874
2.276683	0.2	3.828681
2.280017	0.2	3.818651
2.283350	0.2	3.809072
2.286683	0.2	3.799903
2.290017	0.2	3.790953
2.293350	0.2	3.782073
2.296683	0.2	3.773090
2.300017	0.2	3.763749
2.303350	0.2	3.753705
2.306683	0.2	3.742599
2.310017	0.2	3.730510
2.313350	0.2	3.718054
2.316683	0.2	3.705770
2.320017	0.2	3.693812
2.323350	0.2	3.682096
2.326683	0.2	3.670310
2.330017	0.2	3.657918
2.333350	0.2	3.644503
2.336683	0.2	3.630151
2.340017	0.2	3.615464
2.343350	0.2	3.600982
2.346683	0.2	3.586812
2.350017	0.2	3.572665
2.353350	0.2	3.558109
2.356683	0.2	3.543003
2.360017	0.2	3.527636
2.363350	0.2	3.512325
2.366683	0.2	3.496991
2.370017	0.2	3.481354
2.373350	0.2	3.465679
2.376683	0.2	3.450708
2.380017	0.2	3.436594
2.383350	0.2	3.422499
2.386683	0.2	3.407425
2.390017	0.2	3.391239
2.393350	0.2	3.374745
2.396683	0.2	3.358671
2.400017	0.2	3.343038
2.403350	0.2	3.327336
2.406683	0.2	3.310894
2.410017	0.2	3.293259
2.413350	0.2	3.274847
2.416683	0.2	3.256914
2.420017	0.2	3.240448
2.423350	0.2	3.225091
2.426683	0.2	3.209729
2.430017	0.2	3.193594
2.433350	0.2	3.176532
2.436683	0.2	3.158939
2.440017	0.2	3.141426
2.443350	0.2	3.124159
2.446683	0.2	3.106976
2.450017	0.2	3.089914
2.453350	0.2	3.073229
2.456683	0.2	3.056992
2.460017	0.2	3.040796
2.463350	0.2	3.024177
2.466683	0.2	3.007539
2.470017	0.2	2.992246
2.473350	0.2	2.979427
2.476683	0.2	2.968824
2.480017	0.2	2.959254
2.483350	0.2	2.949839
2.486683	0.2	2.940265
2.490017	0.2	2.930290
2.493350	0.2	2.919654
2.496683	0.2	2.908432
2.500017	0.2	2.896958
2.503350	0.2	2.885712
2.506683	0.2	2.875291
2.510017	0.2	2.866257
2.513350	0.2	2.858820
2.516683	0.2	2.852869
2.520017	0.2	2.848292
2.523350	0.2	2.845125
2.526683	0.2	2.843277
2.530017	0.2	2.842247
2.533350	0.2	2.841358
2.536683	0.2	2.840394
2.540017	0.2	2.839733
2.543350	0.2	2.839970
2.546683	0.2	2.841698
2.550017	0.2	2.845265
2.553350	0.2	2.850476
2.556683	0.2	2.856851
2.560017	0.2	2.864059
2.563350	0.2	2.871817
